#.<ReportHeader>: 
#  +: {CreatedBy: undefined, CreatedAt: 2026-09-24T08:52:00.883Z}
#  QueryDescriptionLink: -->\..TaskListTasks<
#  QueryDescription: 
#    Type: QueryDescription
#    Select: [Status, Importance, Estimation, By, RemTime, Summary, Tags, IDLINK as IdLink, DependsOn]
#    From: 
#      - -->CurrentWork\Bobi\<
#      - -->CurrentWork\Hana\<
#      - -->Tasks\<
#    OutputFile: Reports\TaskListTasks.csv
#    OrderBy: [Importance desc, Status desc, By, RemTime]
#    Where: 
#      TaggedBy: [TL]
#      LeavesOnly: false
#      SkipFoldersAndFiles: false
#      SkipUnder: [-->Tasks\Archive\<, -->CurrentWork\Bobi\TestMaterial\ReportGenTest\<]
#  Log: 
#    - Created at 2026-09-24T08:52:00.883Z; Added / Updated / Deleted: 53 / 0 / 0
Status    , Importance, Estimation, By          , RemTime, Summary                                                                       , Tags                 , IdLink                                                                                                                                                                                                                                     , DependsOn
EstTODO   , 6-Extreme ,         15, "Bobi, Hana",      15, Do the reprioritization baseline                                              , TL                   , "-->Tasks\ToBeSorted\..Tasks20260922..""Reprioritize the Tasks""..""Do the reprioritization baseline""<"                                                                                                                                   , 
EstTODO   , 6-Extreme ,         20, "Bobi, Hana",      20, Revise the salad process 20260922                                             , "TL, Private"        , "-->CurrentWork\Hana\Personal\..SaladPRocess..""Revise the salad process 20260922""<"                                                                                                                                                      , 
EstTODO   , 6-Extreme ,         60, Hana        ,      60, Activity schedule 23-31 Sep                                                   , "TL, Private"        , "-->CurrentWork\Hana\Schedules\..""Schedule and estimate activity for the next 10 days""..""Activity schedule 23-31 Sep""<"                                                                                                                , 
Done      , 6-Extreme ,         40, Hana        ,      40, collect the lab results into one folder                                       , "TL, Health, Private", "-->CurrentWork\Hana\TasksToBeSorted\..""collect the lab results into one folder""<"                                                                                                                                                       , 
OnHold    , 5-VeryHigh,        240, Bobi        ,     240, Work out the DM comparison outreach idea                                      , "Before1stPost, TL"  , "-->CurrentWork\Bobi\TasksToBeSorted\..TasksToBeSorted20260702..Outreach..""Work out the DM comparison outreach idea""<"                                                                                                                   , 
NEXT      , 5-VeryHigh,         30, "Hana, Bobi",      30, Showcase health log                                                           , "TL, Private, Health", "-->Tasks\Miscellaneous\..Health..""Create health-log tracking requirements""..""Showcase health-log to Bobi""..""Showcase health log""<"                                                                                                  , 
InProgress, 5-VeryHigh,         90, Bobi        ,      90, Have a value/effort rating system and apply it on the Requirements + Tasks    , "Before1stPost, TL"  , "-->CurrentWork\Bobi\TasksToBeSorted\..TasksToBeSorted20260702..TaskAdmin..""Have the (development) Tasks worked out (on which I'm planning to work on)""..""Have a value/effort rating system and apply it on the Requirements + Tasks""<", 
EstTODO   , 5-VeryHigh,         30, Bobi        ,      30, Set up the myRaiffeisen app on the Pixel                                      , "TL, Personal"       , "-->CurrentWork\Bobi\TasksToBeSorted\..TasksToBeSorted20260702..Infrastructure..""Set up the myRaiffeisen app on the Pixel""<"                                                                                                             , 
EstTODO   , 5-VeryHigh,         45, Bobi        ,      45, Create Updates section containing the commit-message-like updates             , "Before1stPost, TL"  , "-->Tasks\Website\..Improvements..""Create Updates section containing the commit-message-like updates""<"                                                                                                                                  , 
EstTODO   , 5-VeryHigh,         60, Bobi        ,      60, "Basic yaml based, generated"                                                 , "Before1stPost, TL"  , "-->Tasks\Website\..Improvements..CreateRoadmap..""Basic yaml based, generated""<"                                                                                                                                                         , 
